method	representation	nodes	density	average_time_sec
BFS	list	10	15	4.250199992384296e-05
BFS	matrix	10	15	7.608800035086461e-05
DFS	list	10	15	4.784699980518781e-05
DFS	matrix	10	15	9.510300034889951e-05
BFS	list	10	35	5.2598999754991386e-05
BFS	matrix	10	35	8.654999990540091e-05
DFS	list	10	35	4.5700000773649665e-05
DFS	matrix	10	35	0.0001066450000507757
BFS	list	10	55	4.192599997622892e-05
BFS	matrix	10	55	7.114299995009788e-05
DFS	list	10	55	4.368399975646753e-05
DFS	matrix	10	55	8.387900023080874e-05
BFS	list	10	75	3.8218000117922205e-05
BFS	matrix	10	75	8.103699961793609e-05
DFS	list	10	75	4.234799998812377e-05
DFS	matrix	10	75	7.48429998930078e-05
BFS	list	10	95	4.065200002514757e-05
BFS	matrix	10	95	6.857100001070649e-05
DFS	list	10	95	3.695400031574536e-05
DFS	matrix	10	95	6.468099978519604e-05
BFS	list	20	15	0.00026258299993060064
BFS	matrix	20	15	0.0005481729999155505
DFS	list	20	15	0.0002655580000282498
DFS	matrix	20	15	0.0005166170004667947
BFS	list	20	35	0.0002560500000254251
BFS	matrix	20	35	0.0005277559997921344
DFS	list	20	35	0.0002556619996903464
DFS	matrix	20	35	0.0004989819997717859
BFS	list	20	55	0.0002968800002417993
BFS	matrix	20	55	0.000500285000380245
DFS	list	20	55	0.00023563899972941726
DFS	matrix	20	55	0.0005048759997589514
BFS	list	20	75	0.00024256500000774395
BFS	matrix	20	75	0.0005113680000795284
DFS	list	20	75	0.0002628030002961168
DFS	matrix	20	75	0.0004957570003898582
BFS	list	20	95	0.0006800160002603661
BFS	matrix	20	95	0.002223496000151499
DFS	list	20	95	0.0008672800000931602
DFS	matrix	20	95	0.002119657999937772
BFS	list	50	15	0.006129963000203134
BFS	matrix	50	15	0.013283029000012903
DFS	list	50	15	0.007978424999964772
DFS	matrix	50	15	0.014378406999603612
BFS	list	50	35	0.004791391000544536
BFS	matrix	50	35	0.010701763000542996
DFS	list	50	35	0.0046076510000420965
DFS	matrix	50	35	0.01046247799982666
BFS	list	50	55	0.004488325000493205
BFS	matrix	50	55	0.009758594000304583
DFS	list	50	55	0.004300179999700049
DFS	matrix	50	55	0.010138494999846443
BFS	list	50	75	0.004794183000049088
BFS	matrix	50	75	0.010501374999948894
DFS	list	50	75	0.004761376000024029
DFS	matrix	50	75	0.011044341999513563
BFS	list	50	95	0.004233892999545788
BFS	matrix	50	95	0.0093949330002215
DFS	list	50	95	0.004604406999933417
DFS	matrix	50	95	0.009419830000188084
BFS	list	80	15	0.01585958000003302
BFS	matrix	80	15	0.035611030000218306
DFS	list	80	15	0.016027289000558085
DFS	matrix	80	15	0.03600063599951682
BFS	list	80	35	0.017890702999720814
BFS	matrix	80	35	0.03733852499986824
DFS	list	80	35	0.01671275499953481
DFS	matrix	80	35	0.03895316799986176
BFS	list	80	55	0.012189787000097567
BFS	matrix	80	55	0.02698650899983477
DFS	list	80	55	0.012207037999905879
DFS	matrix	80	55	0.027872887000557966
BFS	list	80	75	0.011970908000075725
BFS	matrix	80	75	0.027117906999701517
DFS	list	80	75	0.012228376999919419
DFS	matrix	80	75	0.027990320999815594
BFS	list	80	95	0.01186391899980663
BFS	matrix	80	95	0.026228352000325684
DFS	list	80	95	0.011799718000329449
DFS	matrix	80	95	0.026944631000078517
BFS	list	110	15	0.03181091699996614
BFS	matrix	110	15	0.07349591699960001
DFS	list	110	15	0.031715834999922664
DFS	matrix	110	15	0.0739483160002419
BFS	list	110	35	0.033643911999897684
BFS	matrix	110	35	0.07798586199991404
DFS	list	110	35	0.033683222999825374
DFS	matrix	110	35	0.07771714799993788
BFS	list	110	55	0.035012839999835704
BFS	matrix	110	55	0.07929420399901574
DFS	list	110	55	0.03431253199953062
DFS	matrix	110	55	0.0801441369998065
BFS	list	110	75	0.03354076300027373
BFS	matrix	110	75	0.07779435300013575
DFS	list	110	75	0.03441863200030639
DFS	matrix	110	75	0.07898997099975531
BFS	list	110	95	0.0361349010001868
BFS	matrix	110	95	0.08146567199968559
DFS	list	110	95	0.03747294900022098
DFS	matrix	110	95	0.08270027999999002
BFS	list	140	15	0.06890496599997277
BFS	matrix	140	15	0.15785299800008942
DFS	list	140	15	0.06841417000010551
DFS	matrix	140	15	0.15837297999984
BFS	list	140	35	0.07189281399958418
BFS	matrix	140	35	0.16735119000011764
DFS	list	140	35	0.07486313099987456
DFS	matrix	140	35	0.16768739099949015
BFS	list	140	55	0.06825784500004374
BFS	matrix	140	55	0.15663322600019455
DFS	list	140	55	0.0676999420003267
DFS	matrix	140	55	0.15769467199977952
BFS	list	140	75	0.06643706599992584
BFS	matrix	140	75	0.14663333899996359
DFS	list	140	75	0.06697227600045152
DFS	matrix	140	75	0.15390345499981778
BFS	list	140	95	0.07312607399988337
BFS	matrix	140	95	0.16969212600015454
DFS	list	140	95	0.07160940399960963
DFS	matrix	140	95	0.1731450409998797
